Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
100,3,407209,1.9999592495204248,0.0756521224975586,0.29518575273570263,60356
101,1,8388,0.0017258846192190452,0.0018448829650878906,0.017569742489270387,386
102,9,269517,6.554385753604326,0.07012104988098145,1.0089382116898007,65536
103,1,190484,9.965142242805374e-05,0.047119140625,0.004062020957140757,874
104,8,510256,6.554473304481477,0.1265861988067627,0.9899109466620677,65536
105,4,519418,2.5849593304397653,0.09899187088012695,0.3707611211009245,65536
106,7,994748,5.610118836111113,0.23047494888305664,0.8307872948726712,65536
107,4,84645,2.584914863875308,0.018377065658569336,0.4146779452766882,18975
108,7,818159,5.409551409409757,0.1884598731994629,0.7984364897287691,65536
109,4,983310,2.5849587630380935,0.18129205703735352,0.3593190346889587,65536
110,6,459601,3.9468201568255714,0.10142993927001953,0.5817480814880733,65536
111,8,131671,6.553946841854304,0.03942680358886719,1.050436314754198,65536
112,6,705575,3.9434281435035015,0.1480088233947754,0.5684385076001842,65536
113,7,835208,5.609055146360501,0.19570302963256836,0.8315509429986303,65536
114,5,281361,3.2462864978502766,0.06071925163269043,0.4852555969022004,65536
115,7,806579,5.665217245631483,0.18716001510620117,0.8419534850275051,65536
116,2,779276,0.9999998426144978,0.12881803512573242,0.1521874149851914,59553
117,3,221919,1.9999741534709807,0.041520118713378906,0.31315452693812074,35002
118,3,181348,1.9999141946315575,0.03400397300720215,0.29972414914970114,29244
119,9,139014,6.554253560277182,0.04040122032165527,1.046786654581553,65536
120,4,258890,2.584956722996754,0.051352739334106445,0.39375796670400554,51225
121,3,648,1.9613549275607627,0.000537872314453125,0.3767361111111111,472
122,3,261600,1.999983493950947,0.04773998260498047,0.30809633027522937,40554
123,6,497636,4.437772696108314,0.1091609001159668,0.6494706974575795,65536
124,8,785666,6.554499681439622,0.19172906875610352,0.9821043547767118,65536
125,7,570823,5.445294886861825,0.13531208038330078,0.8122062355581328,65536
126,6,437998,3.827210469927187,0.09577798843383789,0.5646235827560856,65536
127,4,865636,2.584952320615422,0.15973520278930664,0.3609092043306886,65536
128,6,462345,3.9888285117362052,0.1006319522857666,0.5866484984156852,65536
129,5,38312,3.248036662052617,0.009366035461425781,0.5253836917936939,11757
130,9,667055,6.554487045661002,0.16657018661499023,0.9845125214562518,65536
131,3,368117,1.9999942915727882,0.06827712059020996,0.29805822077823296,55115
132,1,593681,3.473591802393402e-05,0.21661019325256348,0.002529140277590621,1347
133,1,320701,6.153276463925023e-05,0.09249401092529297,0.003438571874025569,1057
134,4,187896,2.5849536861630518,0.03715109825134277,0.4067249968067442,38466
135,3,572754,1.9999584435977793,0.10284972190856934,0.28628446517864625,65536
136,2,525771,0.9999975091896329,0.08683395385742188,0.15835791627914053,41885
137,2,101765,0.9999937728307324,0.01733994483947754,0.16611801699995088,9915
138,6,709510,4.214541600431318,0.15033507347106934,0.6096207241617454,65536
139,4,976037,2.5849548018503996,0.1798090934753418,0.3593576466441812,65536
140,3,895469,1.9999995423529873,0.15829873085021973,0.27883073431993105,65536
141,8,796770,6.554487917129714,0.1935741901397705,0.9819446013278612,65536
142,4,389309,2.5849590920744197,0.07697296142578125,0.3787540970131618,65536
143,7,456861,5.548674167769492,0.1103670597076416,0.8345076511236459,65536
144,4,238588,2.584953547391793,0.0480349063873291,0.39679279762603314,47590
145,8,376587,6.554401625920137,0.09538817405700684,0.9969967099236033,65536
146,9,515815,6.554464638316207,0.12787508964538574,0.9895330690266859,65536
147,6,137621,4.627355491107922,0.03554487228393555,0.7471534140865129,51667
148,3,789490,1.9999906386647366,0.13830089569091797,0.2807034432442292,65536
149,1,487081,4.1751853453738725e-05,0.16717290878295898,0.002791892502258356,1244
150,9,594973,6.5544688853583555,0.14623713493347168,0.9863203876478428,65536
151,4,243122,2.5849502765698973,0.04897880554199219,0.39623728004869985,48422
